ID,Sex,stage,cell_count,cell_perc,chromo_number
93,Female,nymph,0,0,6
93,Female,nymph,0,0,7
93,Female,nymph,0,0,8
93,Female,nymph,0,0,9
93,Female,nymph,0,0,10
93,Female,nymph,0,0,11
93,Female,nymph,0,0,12
93,Female,nymph,3,30,13
93,Female,nymph,2,20,14
93,Female,nymph,2,20,15
93,Female,nymph,0,0,16
93,Female,nymph,0,0,17
93,Female,nymph,0,0,18
93,Female,nymph,0,0,19
93,Female,nymph,2,20,20
93,Female,nymph,1,10,21
93,Female,nymph,0,0,22
93,Female,nymph,0,0,23
93,Female,nymph,0,0,24
95,Male,nymph,0,0,4
95,Male,nymph,0,0,5
95,Male,nymph,0,0,6
95,Male,nymph,1,5.882352941,7
95,Male,nymph,5,29.41176471,8
95,Male,nymph,10,58.82352941,9
95,Male,nymph,1,5.882352941,10
95,Male,nymph,0,0,11
95,Male,nymph,0,0,12
95,Male,nymph,0,0,13
95,Male,nymph,0,0,14
95,Male,nymph,0,0,15
95,Male,nymph,0,0,16
95,Male,nymph,0,0,17
95,Male,nymph,0,0,18
95,Male,nymph,0,0,19
95,Male,nymph,0,0,20
95,Male,nymph,0,0,21
95,Male,nymph,0,0,22
95,Male,nymph,0,0,23
95,Male,nymph,0,0,24
96,Female,nymph,0,0,4
96,Female,nymph,0,0,5
96,Female,nymph,0,0,6
96,Female,nymph,2,11.76470588,7
96,Female,nymph,0,0,8
96,Female,nymph,0,0,9
96,Female,nymph,2,11.76470588,10
96,Female,nymph,0,0,11
96,Female,nymph,1,5.882352941,12
96,Female,nymph,2,11.76470588,13
96,Female,nymph,1,5.882352941,14
96,Female,nymph,1,5.882352941,15
96,Female,nymph,0,0,16
96,Female,nymph,0,0,17
96,Female,nymph,0,0,18
96,Female,nymph,2,11.76470588,19
96,Female,nymph,1,5.882352941,20
96,Female,nymph,0,0,21
96,Female,nymph,1,5.882352941,22
96,Female,nymph,3,17.64705882,23
96,Female,nymph,1,5.882352941,24
